Date,Open,High,Low,Close,Mcap,TurnOver
2006-02-13,4584.05,4629.45,4584.05,4611,1911933,5194309
2006-02-14,4611,4619.9,4526.75,4540,1882496,4490372
2006-02-15,4360.3,4578.2,4360.3,4515.8,1872454,3235133
2006-02-16,4542.05,4569.9,4479.35,4548.1,1885855,3281579
2006-02-17,4545.75,4576.15,4442.05,4452.3,1846417,3627547
2006-02-20,4460.65,4471.6,4392.75,4449.3,1845177,3020342
2006-02-21,4450.05,4486.8,4450.05,4466.6,1852374,2390792
2006-02-22,4467.3,4487.65,4436,4452.1,1846358,2643017
2006-02-23,4462.5,4478.35,4378.1,4394.9,1822437,5741162
2006-02-24,4406.6,4508.1,4398,4497.75,1865057,5014439
2006-02-27,4502.9,4566.95,4502.9,4560.05,1890897,4022761
2006-02-28,4565.05,4613.4,4515.05,4579.05,1898827,7171551
2006-03-01,4521.7,4585.8,4500.65,4572.7,1896211,3615233
2006-03-02,4579.8,4686.4,4560.9,4656.35,1930899,5982697
2006-03-03,4660.8,4682.75,4612.7,4624,1917469,3852312
2006-03-06,4624.85,4661.05,4624.85,4634.45,1921797,2599913
2006-03-07,4638.95,4643.45,4562.25,4621.8,1916554,5102925
2006-03-08,4635.55,4640.3,4538.9,4555.35,1889009,4807140
2006-03-09,4555.65,4595.25,4491.1,4587.35,1907916,4664906
2006-03-10,4594.95,4683.45,4594.95,4656.05,1936483,5722963
2006-03-13,4660.95,4699.65,4648.9,4666.3,1940747,4157355
2006-03-14,4740.7,4785.05,4650.45,4688,1949771,9940928
2006-03-16,4697.8,4738.35,4688.9,4710.5,2025022,3976695
2006-03-17,4717.7,4744.4,4686.15,4701.15,2021000,3720143
2006-03-20,4707,4730.7,4697.2,4707.95,2023917,2677147
2006-03-21,4711.4,4744.25,4644.6,4661.85,2004189,4098311
2006-03-22,4666.7,4666.7,4592.7,4607.45,1980807,4211727
2006-03-23,4621.95,4664,4594.85,4626,1988810,5028879
2006-03-24,4627.15,4680.3,4627.15,4662.9,2004676,3533715
2006-03-27,4709.25,4731.8,4689.75,4702.35,2021620,5055099
2006-03-28,4703.6,4732.3,4654.15,4660.65,2003715,2611996
2006-03-29,4646.1,4687.55,4644.9,4680.5,2012272,2364626
2006-03-30,4678.65,4709.1,4628.35,4638.45,1994203,4571917
2006-03-31,4643.05,4706.15,4629.9,4661.5,2004084,3910668
2006-04-03,4661.5,4731.95,4661.5,4724.05,2030970,2785669
2006-04-04,4742.65,4836.95,4742.65,4824.65,2074391,5311651
2006-04-05,4829.45,4895.9,4829.45,4873,2095190,4028305
2006-04-07,4878.65,4905.05,4702.95,4717.6,2028376,3897321
2006-04-10,4721.4,4754.8,4649.65,4689.45,2016269,3541713
2006-04-12,4644.4,4698.6,4567,4575.25,1967211,3218892
2006-04-13,4574.3,4584.8,4408.65,4467.1,1920706,4460929
2006-04-17,4477.5,4575.95,4477.5,4561.7,1961362,3352896
2006-04-18,4566.45,4687.3,4566.45,4633.75,1992356,4299713
2006-04-19,4639.45,4694,4605.25,4620.9,1986841,3267417
2006-04-20,4626.55,4644.35,4592.2,4624.3,1988301,2012207
2006-04-21,4627.35,4662.4,4567.1,4596.1,1976212,3379526
2006-04-24,4593.25,4606.05,4503.95,4520.5,1943699,3507297
2006-04-25,4523.9,4543.05,4446.9,4455.55,1915774,4062758
2006-04-26,4450,4517.9,4450,4499.3,1934590,3611868
2006-04-27,4514.15,4562.15,4415.6,4435.8,1907290,5553404
2006-04-28,4427.85,4452.15,4179.85,4437.05,1907816,3486330
2006-04-29,4442.65,4622.2,4442.65,4549.8,1956291,1547030
2006-05-02,4558.25,4752.85,4558.25,4729.3,2033451,5711376
2006-05-03,4733.35,4898.4,4720.9,4880.7,2098524,6809728
2006-05-04,4780.35,4960.75,4780.35,4935.3,2122005,6259731
2006-05-05,4937.2,4955.25,4865.5,4876.55,2096747,3599556
2006-05-08,4892.25,4935.85,4859.8,4875.05,2096104,4345979
2006-05-09,4896.7,4922.05,4828.95,4914.25,2112923,5023713
2006-05-10,4916,5068.2,4916,5047.15,2170073,8270770
2006-05-11,5047.15,5074.4,4966.35,4991.35,2146078,3867654
2006-05-12,4971.2,4987,4863.35,4871.6,2094613,3012073
2006-05-15,4873.3,4880,4686.55,4713.05,2026408,2897673
2006-05-16,4714.6,4724.25,4550.65,4685.45,2014544,2850680
2006-05-17,4712.2,4914.9,4712.2,4853.35,2086729,3719982
2006-05-18,4853.65,4853.65,4483.45,4539.5,1951802,6035892
2006-05-19,4593.75,4677.85,4291.15,4330.4,1862337,5815118
2006-05-22,4380.4,4463.45,3972.25,4216.3,1813278,3754806
2006-05-23,4283.95,4378.5,4101.25,4326.65,1860741,2949405
2006-05-24,4327.8,4466.8,4248,4295.5,1847832,5269216
2006-05-25,4274.9,4316.8,4187.4,4271.95,1837710,4925084
2006-05-26,4274.2,4411.8,4274.2,4324.05,1860105,2562238
2006-05-29,4324.7,4391.35,4297.95,4337.65,1865968,1759067
2006-05-30,4351.6,4353.2,4269.25,4274.55,1838812,2033704
2006-05-31,4254.05,4254.05,4043,4123.55,1773874,3493672
2006-06-01,4130.85,4206.35,4056.75,4075.5,1753201,2774777
2006-06-02,4076.3,4187.9,4032.95,4176.5,1796680,2403632
2006-06-05,4177.3,4200.8,4047.55,4068.35,1750126,2211935
2006-06-06,4061.8,4155.75,3950.9,4079.55,1754939,2982043
2006-06-07,4056.35,4082.05,3901.25,3962,1704373,2295764
2006-06-08,3966.3,3966.3,3666.95,3704.35,1593576,2827801
2006-06-09,3704.5,3860.25,3596.7,3829.4,1647354,4134008
2006-06-12,3832.8,3850.05,3637.35,3673.3,1580215,2430961
2006-06-13,3639.1,3639.1,3466.1,3541.25,1523390,2710559
2006-06-14,3583.4,3656.5,3408.95,3475.45,1495459,3657703
2006-06-15,3551.1,3676.85,3534.9,3661.85,1575679,2819853
2006-06-16,3679,3853.6,3679,3770.45,1622414,3477563
2006-06-19,3762.5,3765.1,3689.9,3751.55,1614287,2067787
2006-06-20,3751.5,3751.5,3633.1,3660.4,1575086,2348802
2006-06-21,3661.75,3726.7,3640.6,3685,1585677,2111823
2006-06-22,3686.4,3850.15,3686.4,3829.45,1647824,2790481
2006-06-23,3824.8,3824.8,3745.65,3802.5,1636236,2405321
2006-06-25,3813.6,3848.1,3777.7,3790.35,1630989,291447
2006-06-26,3794.35,3794.35,3669.95,3683.35,1584959,3116921
2006-06-27,3695.5,3713.9,3611.2,3679.3,1583766,2279859
2006-06-28,3673.75,3682.35,3596.75,3609.35,1553768,2653678
2006-06-29,3610.65,3668.15,3571.25,3596.2,1548127,6191209
2006-06-30,3638,3743.8,3638,3708.9,1596659,2823387
2006-07-03,3717.75,3784,3682.35,3719.25,1601116,2113370
2006-07-04,3719.4,3788.85,3719.4,3776.85,1625900,2533575
2006-07-05,3964.8,3964.8,3771.7,3824.4,1646411,2607801
2006-07-06,3807.4,3807.4,3742.65,3761.25,1619215,2166960
2006-07-07,3765,3803.7,3657.3,3704.95,1594997,4621463
2006-07-10,3695.7,3713.85,3655.2,3709.4,1596918,1753223
2006-07-11,3705.05,3711.7,3664.75,3683.7,1585841,1421500
2006-07-12,3591.05,3689.35,3529.15,3684.8,1586330,1736189
2006-07-13,3688.85,3706.8,3659.4,3676.4,1582709,1779423
2006-07-14,3623.4,3658.35,3584.95,3630.1,1562785,1788124
2006-07-17,3659.35,3659.35,3504.3,3519.2,1515069,1671233
2006-07-18,3512.85,3530.6,3445.7,3472.65,1495022,1836468
2006-07-19,3485.8,3526.6,3413.5,3428.15,1475874,1501715
2006-07-20,3472,3626.95,3472,3602.45,1550913,2498315
2006-07-21,3601.6,3601.6,3509.4,3543.55,1525553,1460953
2006-07-24,3537,3722.25,3495.6,3715.75,1599660,4092754
2006-07-25,3768.45,3886.65,3768.45,3871.2,1666594,5270606
2006-07-26,3882.65,3910.85,3816.95,3898.35,1678289,3181957
2006-07-27,3920.15,3960.6,3844,3945.7,1698666,7599962
2006-07-28,3967.05,4042.75,3911.7,4022.95,1731977,6285165
2006-07-31,4032.45,4140.55,4032.45,4078.8,1756022,4109084
2006-08-01,4074.15,4074.15,3996.05,4050.75,1744026,3173630
2006-08-02,4053.55,4103.85,4029.15,4096.95,1763902,2766066
2006-08-03,4097.95,4192.95,4097.95,4152.6,1787877,3760921
2006-08-04,4129.8,4144.95,4041.7,4067.75,1751344,3605534
2006-08-07,4059.45,4153.1,4032.5,4134.45,1780184,4718893
2006-08-08,4141,4275.5,4141,4265.95,1836790,5748633
2006-08-09,4268.65,4346.25,4235.7,4329.05,1863998,6721214
2006-08-10,4336.35,4378.85,4302.35,4370.55,1881872,5204132
2006-08-11,4380.05,4403.4,4308.95,4324.65,1862101,2332115
2006-08-14,4314.7,4358.05,4308.25,4328.85,1863921,1677406
2006-08-16,4342.2,4456.1,4342.2,4433.1,1908803,3105945
2006-08-17,4453.1,4471.4,4394.3,4410.3,1898999,2707455
2006-08-18,4399,4414.35,4351.5,4369.3,1881341,1990369
2006-08-21,4342.9,4456.55,4325.45,4446.2,1914582,2673637
2006-08-22,4462.35,4495.9,4433.55,4449.7,1916100,3613541
2006-08-23,4448.8,4465.3,4378.15,4395.1,1892571,2618204
2006-08-24,4377.7,4442.1,4332.8,4428.35,1906898,3015906
2006-08-25,4575.75,4596.7,4472.15,4495.45,1935828,4223308
2006-08-28,4501.85,4533,4485.95,4528.4,1950019,2370845
2006-08-29,4529.4,4579.65,4529.4,4562.7,1964870,2537411
2006-08-30,4566.8,4605.9,4534.15,4596.3,1979339,3085995
2006-08-31,4612,4633.05,4580.45,4594.85,1978705,5620831
2006-09-01,4593.2,4655.5,4568.25,4650.85,2002821,3300118
2006-09-04,4662.5,4708.9,4661.5,4696.9,2022644,2216460
2006-09-05,4703.25,4743.85,4682.4,4706.8,2026955,2557550
2006-09-06,4709.2,4724.15,4671.85,4690.4,2019907,2189611
2006-09-07,4683.55,4683.55,4627.95,4647.3,2001342,2217570
2006-09-08,4652.9,4680.9,4616.15,4658.45,2006140,2111474
2006-09-11,4658.45,4672.35,4510.65,4528.9,1950350,2536266
2006-09-12,4526.25,4645.75,4480.2,4631.6,1994583,4405267
2006-09-13,4637.75,4837.6,4637.75,4823.9,2077392,6040691
2006-09-14,4853.2,4913.05,4835.1,4896.35,2108583,4131850
2006-09-15,4883.25,4915.2,4849.95,4908.1,2113653,3286187
2006-09-18,4905,4954.55,4898.55,4924.95,2120983,2959522
2006-09-19,4927.6,4949,4861.25,4890.45,2106117,2795840
2006-09-20,4878.25,4915.8,4800.65,4899.75,2110119,2251219
2006-09-21,4925,4990.9,4925,4972.95,2141654,2783777
2006-09-22,4956.45,4982.2,4903.95,4934.7,2125226,2217729
2006-09-25,5078.4,5084.25,4910.85,4949.9,2131784,2947289
2006-09-26,4957.25,5066.35,4947.8,5061.7,2179916,4110737
2006-09-27,5035.85,5143.5,5035.85,5124.5,2206977,4994682
2006-09-28,5123.65,5350.65,5118.75,5327.6,2294776,10139100
2006-09-29,5519.55,5519.55,5255.95,5276.25,2272652,4834016
2006-10-03,5277.05,5312.25,5241.45,5264.9,2267837,3051721
2006-10-04,5265.45,5267.95,5185.95,5201.25,2240407,3579963
2006-10-05,5215.85,5350.65,5215.85,5334.7,2297901,4995680
2006-10-06,5326.35,5357.2,5300.2,5311.25,2287801,2713174
2006-10-09,5290.75,5327.2,5261.75,5292.75,2279830,2460107
2006-10-10,5292.45,5326.9,5253.5,5270.3,2270156,1932572
2006-10-11,5271.5,5313.85,5182.1,5206.4,2242622,2534580
2006-10-12,5208.85,5285.3,5142,5270.4,2270197,3199863
2006-10-13,5290.85,5361.25,5290.85,5302.45,2283992,2893817
2006-10-16,5250.6,5433.1,5250.6,5399.55,2325823,4737549
2006-10-17,5393.4,5433.7,5353.9,5390.1,2321801,4464465
2006-10-18,5406.5,5425.6,5374.65,5405.85,2328575,4599995
2006-10-19,5410.15,5430.65,5300,5334.85,2298131,3140110
2006-10-20,5341.55,5373.8,5314.4,5333.65,2297619,3002568
2006-10-21,5380.65,5380.65,5307.5,5325.55,2294126,273005
2006-10-23,5304.6,5341.05,5240.5,5247.25,2260399,1836537
2006-10-26,5282.8,5482.4,5265.2,5460.1,2352098,8307170
2006-10-27,5473.4,5551.9,5464.1,5545.25,2388779,5634198
2006-10-30,5539.9,5641.95,5479.6,5626.45,2423754,6193710
2006-10-31,5633.7,5686.9,5543.8,5588.7,2407490,7249128
2006-11-01,5792.8,5795.85,5570.9,5623.65,2423154,3853490
2006-11-02,5586,5677.25,5586,5658.75,2438287,3346095
2006-11-03,5664.05,5667,5600.55,5613.15,2418627,3009368
2006-11-06,5604.25,5626.9,5556.05,5561.9,2396546,2517572
2006-11-07,5575.85,5610.6,5510.95,5535.75,2385284,2918451
2006-11-08,5529.85,5613.7,5460.5,5591,2409093,5187100
2006-11-09,5615.5,5670.35,5599.3,5656.35,2437264,3860243
2006-11-10,5666.25,5797.8,5648,5757.95,2481061,5750129
2006-11-13,5773.25,5823.95,5730.85,5801.35,2499766,3109774
2006-11-14,5793.6,5849.85,5782.1,5838.8,2515898,4825567
2006-11-15,5835.2,6047.45,5835.2,6023.55,2595509,10520100
2006-11-16,6039.2,6268.25,6039.2,6175.05,2660791,17676630
2006-11-17,6166.45,6228.25,6066.15,6119.65,2636919,10760310
2006-11-20,6115.95,6115.95,5907.45,6006.6,2588542,8095869
2006-11-21,6045.05,6101.8,6009.1,6085.5,2622544,4453826
2006-11-22,6094.4,6177.2,6094.4,6118.9,2636946,5635381
2006-11-23,6153,6177.55,6082.8,6157.1,2653403,5051784
2006-11-24,6144.95,6190.95,6132.6,6153.6,2651897,4093574
2006-11-27,6128.5,6217.65,6107.35,6198.35,2671182,2733775
2006-11-28,6179.35,6179.35,6080.35,6122.9,2638659,4355623
2006-11-29,6158.4,6202.1,6109.05,6127.65,2640836,4881195
2006-11-30,6144.2,6227.3,6143.55,6198.3,2671266,5891928
2006-12-01,6217.65,6341.15,6199.05,6330.75,2728364,5772252
2006-12-04,6301.65,6374.55,6280.6,6294.1,2712559,3820168
2006-12-05,6296.45,6340,6212.25,6235.15,2687169,3245270
2006-12-06,6264.55,6305.5,6188.8,6213.85,2677966,2780256
2006-12-07,6220.25,6284.15,6182.55,6259.5,2697645,3332821
2006-12-08,6595.85,6595.85,6187.7,6234.55,2686902,4150264
2006-12-11,6177.9,6177.9,5729.35,5790.6,2495788,6891104
2006-12-12,5758.3,5812.05,5408.95,5536.3,2386280,6881873
2006-12-13,5556.35,5741.65,5502.75,5720.35,2465611,5652273
2006-12-14,5754.8,5877.4,5754.8,5849.75,2521383,4810367
2006-12-15,5844.35,5966.3,5844.35,5958.2,2568201,3694476
2006-12-18,5971.1,6022.2,5814.9,6012.05,2591744,5442631
2006-12-19,6010.8,6010.8,5801.95,5867.45,2529419,4702558
2006-12-20,5865.8,5947.65,5764.1,5797.2,2499136,4780995
2006-12-21,5787.6,5810.95,5712,5777.9,2490813,4361413
2006-12-22,5796.4,5829.45,5760.1,5790.4,2496203,2888035
2006-12-26,5799.2,5914.4,5785.25,5904.15,2545235,2639412
2006-12-27,5933.45,6057.55,5994.55,6009.6,2590696,1990323
2006-12-28,6049.95,6060.85,5994.55,6027.8,2598539,5274473
2006-12-29,6098.55,6098.55,5993.9,6008.75,2590333,2750098
2007-01-02,6015.15,6067.05,6004.65,6039.55,2603665,1650294
2007-01-03,6044.3,6084.5,6009.65,6070.25,2616900,2341604
